Date,Total_Cases,Total_Deaths,Total_Hospitalizations,Ages_0to17,Ages_18to29,Ages_30to39,Ages_40to49,Ages_50to59,Ages_60to69,Ages_70to79,Age_80andAbove,Ages_Unknown,Female,Male,Unknown_Gender,Latinx,Asian_NonLatinx,Black_NonLatinx,White_NonLatinx,OtherRace_NonLatinx,UnknownRace_Ethnicity,Ages_0to17,Ages_18to29,Ages_30to39,Ages_40to49,Ages_50to59,Ages_60to69,Ages_70to79,Ages_80+,Ages_Unknown,Female,Male,Unknown_Gender,Latinx,Asian_NonLatinx,Black_NonLatinx,White_NonLatinx,OtherRace_NonLatinx,UnknownRace_Ethnicity,Hospitalizations_Ages_0to17,Hospitalizations_Ages_18to29,Hospitalizations_Ages_30to39,Hospitalizations_Ages_40to49,Hospitalizations_Ages_50to59,Hospitalizations_Ages_60to69,Hospitalizations_Ages_70to79,Hospitalizations_Ages_80+,Hospitalizations_Ages_Unknown,Hospitalizations_Female,Hospitalizations_Male,Hospitalizations_Unknown_Gender,Hospitalizations_Latinx,Hospitalizations_Asian_NonLatinx,Hospitalizations_Black_NonLatinx,Hospitalizations_White_NonLatinx,Hospitalizations_Other_Race NonLatinx,Hospitalizations_UnknownRace_Ethnicity
8/1/2020,141,5,17,7,45,27,17,25,11,6,3,0,69,72,0,49,0,32,31,6,23,0,0,0,0,1,0,2,2,0,3,2,0,2,0,2,1,0,0,0,3,2,4,3,0,4,1,0,8,9,0,7,0,8,2,0,0
8/2/2020,96,3,17,11,21,29,10,6,12,6,1,0,45,50,1,26,2,28,24,6,10,0,0,0,2,0,0,1,0,0,0,3,0,1,0,1,1,0,0,0,3,6,2,2,1,2,1,0,10,7,0,5,0,8,3,1,0
8/3/2020,428,3,23,53,128,87,68,47,24,14,7,0,216,210,2,217,10,70,73,17,41,0,0,0,0,0,1,1,1,0,2,1,0,1,0,1,1,0,0,1,1,1,3,7,1,6,3,0,6,17,0,9,1,8,3,2,0
8/4/2020,369,2,26,50,105,69,53,39,33,16,4,0,202,164,3,169,10,69,65,17,39,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,4,2,4,2,6,6,2,0,15,11,0,6,3,13,4,0,0
8/5/2020,378,4,15,44,115,82,54,33,32,14,4,0,184,192,2,171,3,84,71,12,37,0,0,0,1,0,2,1,0,0,0,4,0,3,0,1,0,0,0,0,0,0,2,4,2,3,4,0,8,7,0,3,0,9,3,0,0
8/6/2020,349,4,15,38,113,73,52,31,22,11,9,0,179,169,1,138,6,85,77,15,28,0,0,0,0,0,2,1,1,0,3,1,0,1,1,1,1,0,0,0,4,1,0,5,1,1,3,0,6,9,0,4,0,6,5,0,0
8/7/2020,418,2,19,65,108,83,55,48,35,14,10,0,198,219,1,182,11,70,90,16,49,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,2,3,0,5,4,2,3,0,10,9,0,8,0,8,2,0,1
8/8/2020,177,3,11,22,56,27,32,18,14,3,5,0,94,81,2,66,6,39,40,7,19,0,0,0,1,1,0,1,0,0,0,3,0,2,0,1,0,0,0,0,0,0,2,2,3,1,3,0,4,7,0,5,1,5,0,0,0
8/9/2020,115,2,11,16,41,21,12,6,9,6,4,0,53,62,0,41,4,17,37,2,14,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,4,1,0,2,2,0,2,0,8,3,0,1,0,9,0,0,1
8/10/2020,376,1,17,41,108,68,63,49,24,18,5,0,186,189,1,185,9,58,69,14,41,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,1,1,2,2,3,3,3,0,8,9,0,2,2,5,7,1,0
8/11/2020,384,4,16,48,102,73,66,48,37,7,3,0,184,199,1,165,5,76,79,15,44,0,0,0,0,1,0,1,2,0,1,3,0,1,1,2,0,0,0,0,0,2,0,3,7,1,3,0,10,6,0,2,0,7,7,0,0
8/12/2020,433,2,24,51,117,93,73,53,29,10,7,0,226,205,2,176,1,81,94,19,62,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,2,1,3,4,8,3,2,0,10,14,0,10,0,9,3,1,1
8/13/2020,391,4,18,39,118,79,72,40,24,11,8,0,211,178,2,182,8,71,89,13,28,0,0,0,0,1,0,3,0,0,1,3,0,2,0,1,1,0,0,0,3,1,5,0,3,5,1,0,11,7,0,6,0,10,1,1,0
8/14/2020,347,3,19,54,86,64,59,40,26,10,8,0,179,164,4,136,5,68,79,14,45,0,0,0,0,0,1,1,1,0,1,2,0,1,0,2,0,0,0,0,1,2,2,1,4,5,4,0,11,8,0,3,0,13,3,0,0
8/15/2020,220,5,15,18,64,41,29,34,21,11,2,0,104,114,2,76,6,52,60,6,20,0,0,0,1,0,0,2,2,0,3,2,0,0,0,3,2,0,0,0,4,2,0,3,0,5,1,0,7,8,0,4,0,8,3,0,0
8/16/2020,120,3,13,10,40,28,9,15,10,6,1,1,56,62,2,27,5,17,42,9,20,0,0,1,0,1,0,1,0,0,2,1,0,0,0,1,2,0,0,0,4,0,1,1,5,0,2,0,8,4,1,6,1,4,1,0,1
8/17/2020,493,3,18,69,142,85,72,63,29,23,10,0,237,251,5,260,9,75,93,14,42,0,0,0,0,1,0,1,1,0,1,2,0,0,0,2,1,0,0,0,0,2,3,5,3,4,1,0,8,10,0,5,0,9,4,0,0
8/18/2020,412,1,11,50,130,79,60,46,22,21,4,0,211,200,1,189,8,61,95,9,50,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2,3,1,0,0,2,2,0,7,4,0,4,0,5,2,0,0
8/19/2020,485,5,18,58,150,90,57,71,39,13,7,0,256,228,1,204,4,81,106,26,64,0,0,0,1,0,2,1,1,0,3,2,0,2,0,1,2,0,0,1,2,1,1,4,2,6,1,0,9,9,0,3,0,10,4,0,1
8/20/2020,423,3,15,48,120,86,64,58,33,10,4,0,236,185,2,176,8,69,106,16,48,0,0,0,1,0,2,0,0,0,2,1,0,2,0,0,1,0,0,0,2,3,3,3,3,1,0,0,10,5,0,7,1,2,5,0,0
8/21/2020,432,5,13,60,140,89,46,54,29,11,3,0,244,186,2,220,17,55,83,16,41,0,0,0,1,1,1,1,1,0,3,2,0,4,0,0,1,0,0,0,0,1,3,3,2,3,1,0,8,5,0,7,0,4,2,0,0
8/22/2020,191,2,14,18,59,32,28,26,16,10,2,0,96,93,2,68,5,28,55,11,24,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,2,2,1,6,0,0,10,4,0,1,0,9,4,0,0
8/23/2020,129,1,19,10,42,17,23,15,12,8,2,0,71,58,0,38,2,27,42,6,14,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,2,4,3,2,3,1,0,7,12,0,7,0,6,4,1,1
8/24/2020,556,3,21,91,135,109,97,66,31,18,7,2,290,259,7,291,10,61,117,19,58,0,0,0,0,0,0,2,1,0,0,3,0,1,0,1,1,0,0,3,2,4,1,3,4,1,3,0,7,14,0,6,1,7,5,2,0
8/25/2020,413,4,21,52,121,75,69,50,27,9,9,1,224,185,4,183,7,61,91,18,53,0,0,0,0,0,0,0,4,0,1,3,0,0,1,2,1,0,0,0,3,2,1,7,3,3,2,0,11,10,0,7,0,10,4,0,0
8/26/2020,388,3,24,48,126,82,44,44,23,12,9,0,196,191,1,191,5,41,92,19,40,0,0,0,1,0,0,1,1,0,0,3,0,1,0,1,1,0,0,1,4,2,1,5,3,4,4,0,13,11,0,11,1,6,3,2,1
8/27/2020,383,2,16,40,133,75,59,32,24,12,8,0,209,173,1,181,6,62,79,20,35,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,1,3,2,2,3,3,2,0,10,6,0,7,0,4,4,1,0
8/28/2020,382,4,16,66,109,61,50,47,29,15,5,0,184,198,0,165,7,67,81,14,48,0,0,1,0,1,0,2,0,0,4,0,0,2,0,2,0,0,0,1,1,1,3,1,2,3,4,0,8,8,0,4,0,10,1,1,0
8/29/2020,234,4,15,24,73,37,41,25,22,12,0,0,128,106,0,102,6,27,61,8,30,0,0,0,0,1,1,1,1,0,2,2,0,1,1,0,2,0,0,2,1,2,2,2,4,2,0,0,5,10,0,5,0,4,4,0,2
8/30/2020,100,5,18,12,24,16,18,14,8,4,4,0,49,51,0,26,1,22,32,5,14,0,0,0,0,0,0,3,2,0,4,1,0,1,0,4,0,0,0,2,2,1,1,2,4,1,5,0,9,9,0,6,0,8,4,0,0
8/31/2020,413,2,26,58,121,72,60,49,29,15,9,0,217,195,1,182,3,57,84,14,73,0,0,0,0,1,0,0,1,0,0,2,0,0,1,1,0,0,0,2,5,0,5,3,3,3,5,0,13,13,0,5,1,14,4,2,0
9/1/2020,331,3,11,34,97,70,39,45,32,8,6,0,178,153,0,131,4,57,80,6,53,0,0,0,0,0,2,1,0,0,2,1,0,2,0,0,1,0,0,0,1,1,4,1,1,1,2,0,4,7,0,3,0,5,2,1,0
9/2/2020,406,3,12,42,127,81,67,46,25,12,6,0,224,181,1,159,9,62,92,16,68,0,0,0,0,1,1,0,1,0,1,2,0,1,0,1,1,0,0,0,1,4,2,2,3,0,0,0,4,8,0,7,0,2,3,0,0
9/3/2020,341,3,14,36,103,60,51,49,23,13,6,0,181,159,1,138,6,57,87,5,48,0,0,0,0,1,0,0,2,0,1,2,0,3,0,0,0,0,0,0,4,2,1,2,2,2,1,0,7,7,0,6,0,5,2,1,0
9/4/2020,397,2,16,61,103,83,53,38,33,16,10,0,206,189,2,187,11,68,86,8,37,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,2,1,3,2,2,3,3,0,11,5,0,8,0,7,1,0,0
9/5/2020,203,3,18,23,61,40,34,21,17,6,1,0,94,109,0,85,3,27,49,4,35,0,0,0,0,1,0,1,1,0,1,2,0,2,0,1,0,0,0,0,1,2,3,3,4,2,3,0,11,7,0,6,0,6,6,0,0
9/6/2020,143,2,7,16,44,30,17,18,10,3,5,0,72,71,0,55,0,27,38,3,20,0,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,2,2,1,0,4,3,0,4,0,3,0,0,0
9/7/2020,72,1,10,4,19,17,5,10,11,3,3,0,39,33,0,21,0,23,15,3,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,4,1,0,2,1,1,0,6,4,0,5,0,3,1,0,1
9/8/2020,368,1,16,36,120,80,55,39,23,10,5,0,180,188,0,177,8,38,81,10,54,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2,2,3,4,3,0,5,11,0,9,0,5,2,0,0
9/9/2020,401,5,14,41,133,74,54,46,37,11,5,0,218,183,0,198,12,57,87,9,38,0,0,0,0,1,1,2,1,0,4,1,0,5,0,0,0,0,0,0,1,0,4,3,1,4,1,0,7,7,0,6,0,5,2,1,0
9/10/2020,329,2,13,23,121,69,44,36,27,5,4,0,189,138,2,131,8,43,104,5,38,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,4,1,2,2,3,1,0,0,11,2,0,6,0,6,1,0,0
9/11/2020,343,5,16,51,94,83,40,37,21,14,3,0,171,171,1,151,6,40,86,13,47,0,0,1,0,2,0,1,1,0,0,5,0,4,0,1,0,0,0,0,1,2,1,4,5,1,2,0,7,9,0,10,1,3,2,0,0
9/12/2020,136,0,9,11,31,34,25,18,11,5,1,0,68,66,2,37,8,20,38,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,0,0,0,5,4,0,5,1,3,0,0,0
9/13/2020,124,3,17,13,37,30,19,13,9,3,0,0,62,62,0,38,2,16,42,5,21,0,0,0,0,0,0,1,2,0,2,1,0,1,0,2,0,0,0,2,3,2,0,4,3,2,1,0,10,7,0,9,0,3,5,0,0
9/14/2020,430,3,15,62,108,91,66,59,27,9,8,0,226,203,1,192,10,63,89,8,68,0,0,0,0,1,0,1,1,0,1,2,0,3,0,0,0,0,0,1,3,0,2,2,3,2,2,0,5,10,0,6,0,5,4,0,0
9/15/2020,353,1,14,54,101,67,47,42,26,13,3,0,189,164,0,157,6,47,90,12,41,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,3,1,3,3,2,0,7,7,0,6,1,5,2,0,0
9/16/2020,366,4,25,47,120,78,49,34,25,10,3,0,203,163,0,169,6,54,90,4,43,0,0,0,0,0,2,1,1,0,3,1,0,1,0,1,2,0,0,1,3,2,3,0,10,5,1,0,18,7,0,9,0,6,7,0,3
9/17/2020,393,0,16,38,123,89,53,40,30,11,9,0,190,202,1,133,13,49,124,12,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,4,3,1,0,0,7,9,0,6,0,2,7,1,0
9/18/2020,358,4,13,41,102,74,45,45,34,8,9,0,163,195,0,146,14,45,80,20,53,0,0,0,0,0,0,1,3,0,2,2,0,1,0,2,1,0,0,0,0,0,0,2,2,3,6,0,8,5,0,1,0,7,4,0,1
9/19/2020,170,2,12,11,49,41,23,24,16,2,4,0,89,79,2,64,2,19,41,13,31,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,0,0,1,1,1,0,2,3,2,2,0,8,3,1,7,0,4,1,0,0
9/20/2020,109,6,12,14,31,29,13,9,5,7,1,0,57,52,0,29,9,13,46,2,10,0,0,0,0,0,3,1,2,0,3,3,0,3,0,1,2,0,0,0,1,2,1,3,2,2,1,0,4,8,0,2,0,5,4,1,0
9/21/2020,421,2,18,51,123,85,57,46,34,18,7,0,216,202,3,211,5,43,89,15,58,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,3,2,2,3,4,2,2,0,12,6,0,10,0,7,1,0,0
9/22/2020,351,2,15,43,108,70,52,36,20,12,10,0,175,173,3,152,8,47,82,8,54,0,0,0,0,1,0,0,1,0,2,0,0,1,0,1,0,0,0,0,3,2,1,2,3,2,2,0,7,8,0,6,0,5,3,1,0
9/23/2020,391,6,21,49,118,89,59,38,27,6,5,0,189,194,8,154,8,44,95,22,68,0,0,0,1,0,1,2,2,0,2,4,0,0,0,4,2,0,0,1,4,4,4,3,2,2,1,0,14,7,0,10,0,4,7,0,0
9/24/2020,409,5,18,52,122,87,61,44,28,9,6,0,200,206,3,175,6,39,115,8,66,0,0,0,1,1,1,1,1,0,2,3,0,4,0,1,0,0,0,0,0,0,4,5,5,4,0,0,6,12,0,5,0,7,5,1,0
